City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Goundam,ML,2022-10-02 00:55:59,16.4145,-3.6708,87.42,40,76,7.45
67,Horodnytsya,UA,2022-10-02 00:56:00,50.807,27.3168,54.73,97,100,6.22
68,Provideniya,RU,2022-10-02 00:56:00,64.3833,-173.3,39.81,73,92,15.48
69,Khatanga,RU,2022-10-02 00:56:01,71.9667,102.5,22.39,96,100,11.01
70,Mana,GF,2022-10-02 00:56:01,5.6592,-53.7767,78.6,88,26,8.46
71,Castro,BR,2022-10-02 00:56:02,-24.7911,-50.0119,56.91,93,0,1.83
72,Svetlaya,RU,2022-10-02 00:56:03,46.5389,138.3297,52.88,76,99,6.91
73,Yar-Sale,RU,2022-10-02 00:56:03,66.8333,70.8333,32.36,96,100,16.13
74,Vuktyl,RU,2022-10-02 00:56:04,63.8567,57.3094,39.51,94,100,9.98
75,Tumarbong,PH,2022-10-02 00:56:04,10.3766,119.4579,84.42,73,95,9.48
76,Ngunguru,NZ,2022-10-02 00:56:05,-35.6167,174.5,64.11,78,79,11.9
77,Huambo,AO,2022-10-02 00:56:05,-12.7761,15.7392,62.24,83,35,4.45
78,Upernavik,GL,2022-10-02 00:56:06,72.7868,-56.1549,20.59,86,13,4.76
79,Cockburn Town,TC,2022-10-02 00:56:07,21.4612,-71.1419,82.9,77,100,15.7
80,Basco,PH,2022-10-02 00:56:07,20.4487,121.9702,83.79,76,18,15.37
81,Newport,GB,2022-10-02 00:54:49,51.5877,-2.9984,59.54,84,100,9.19
82,Vestmannaeyjar,IS,2022-10-02 00:56:08,63.4427,-20.2734,46.54,85,100,36.8
83,Port Macquarie,AU,2022-10-02 00:55:47,-31.4333,152.9167,64.89,63,99,8.39
84,Xining,CN,2022-10-02 00:56:09,36.6167,101.7667,55.6,47,100,1.21
85,Albany,US,2022-10-02 00:51:19,42.6001,-73.9662,57.78,75,18,6.17
86,Nouadhibou,MR,2022-10-02 00:56:09,20.931,-17.0347,69.78,73,0,17.27
87,Celestun,MX,2022-10-02 00:56:10,20.8667,-90.4,77.9,62,12,7.9
88,Iqaluit,CA,2022-10-02 00:56:11,63.7506,-68.5145,28.13,79,20,15.01
89,Vatava,RO,2022-10-02 00:56:11,46.9667,24.7667,53.22,95,100,14.5
90,Lima,PE,2022-10-02 00:55:48,-12.0432,-77.0282,62.91,77,100,17.27
