City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
81,Puerto Ayora,EC,-0.7393,-90.3518,76.96,90,83,13.0,Clouds
82,Andijon,UZ,40.7821,72.3442,56.48,26,0,4.14,Clear
83,Muroto,JP,33.2833,134.15,66.51,62,88,15.41,Clouds
84,Kangaba,ML,11.9333,-8.4167,85.73,60,38,8.25,Clouds
85,Sao Filipe,CV,14.8961,-24.4956,78.46,79,19,10.36,Clouds
86,Tevaitoa,PF,-16.7833,-151.5,77.79,77,16,19.22,Clouds
87,Roald,NO,62.5833,6.1333,48.76,81,75,16.11,Clouds
88,Novo Aripuana,BR,-5.1206,-60.3797,100.62,27,35,5.93,Clouds
89,Magdalena,PH,14.1999,121.429,76.48,93,53,4.59,Clouds
90,Kavieng,PG,-2.5744,150.7967,82.58,70,38,17.49,Clouds
91,Georgetown,MY,5.4112,100.3354,82.24,90,20,0.0,Clouds
92,Lebu,CL,-37.6167,-73.65,50.95,56,9,19.33,Clear
93,Manta,EC,-0.95,-80.7333,76.78,69,20,10.36,Clouds
94,Cabo San Lucas,MX,22.8909,-109.9124,89.91,42,20,0.0,Clouds
95,Goderich,CA,43.7501,-81.7165,50.92,61,61,16.11,Clouds
96,Provideniya,RU,64.3833,-173.3,31.68,66,30,9.04,Clouds
97,Banda Aceh,ID,5.5577,95.3222,79.11,79,100,7.56,Clouds
98,Dingle,PH,10.9995,122.6711,76.28,92,98,5.48,Clouds
99,Ribeira Grande,PT,38.5167,-28.7,73.8,88,75,10.36,Clouds
100,Taoudenni,ML,22.6783,-3.9836,106.2,10,7,3.11,Clear
101,Souillac,MU,-20.5167,57.5167,71.98,68,40,12.66,Clouds
102,Lavrentiya,RU,65.5833,-171.0,30.81,73,78,11.18,Clouds
103,Carnarvon,AU,-24.8667,113.6333,67.51,70,73,16.73,Clouds
104,Sorland,NO,67.667,12.6934,46.26,68,100,26.08,Clouds
105,Yellowknife,CA,62.456,-114.3525,41.56,100,86,3.0,Clouds
106,Komsomolskoye,RU,55.2567,47.5461,47.98,83,12,7.45,Clouds
107,Port Elizabeth,ZA,-33.918,25.5701,68.09,84,0,15.01,Clear
108,Florida,US,28.7505,-82.5001,85.78,55,0,8.05,Clear
109,Vila,PT,42.0304,-8.1588,68.7,49,5,3.89,Clear
110,Ulladulla,AU,-35.35,150.4667,49.1,94,100,19.82,Rain
111,Sabang,ID,5.8933,95.3214,81.52,75,100,11.72,Rain
112,Katsuura,JP,35.1333,140.3,67.3,72,82,14.67,Clouds
113,Cogealac,RO,44.55,28.5667,57.24,70,21,6.26,Clouds
114,Pisco,PE,-13.7,-76.2167,64.45,72,3,10.36,Haze
115,Constitucion,CL,-35.3333,-72.4167,58.35,39,0,15.82,Clear
116,Tamandare,BR,-8.7597,-35.1047,82.76,58,1,9.31,Clear
117,Nome,US,64.5011,-165.4064,33.87,93,75,3.44,Clouds
118,Altamira,BR,-3.2033,-52.2064,91.49,55,40,8.05,Clouds
119,Hannibal,US,39.7084,-91.3585,57.61,31,0,6.35,Clear
120,Tuatapere,NZ,-46.1333,167.6833,44.33,84,76,8.28,Clouds
121,Hithadhoo,MV,-0.6,73.0833,81.39,75,14,13.24,Clouds
122,Port Hedland,AU,-20.3167,118.5667,68.05,60,42,6.91,Clouds
123,Qaanaaq,GL,77.484,-69.3632,7.14,67,42,9.35,Clouds
124,San Cristobal,VE,7.7669,-72.225,84.38,47,88,8.41,Clouds
125,Grumazesti,RO,47.1333,26.3667,56.71,23,66,2.86,Clouds
126,Tshikapa,CD,-6.4167,20.8,71.31,89,82,2.91,Rain
127,New Norfolk,AU,-42.7826,147.0587,39.7,75,14,3.11,Clouds
128,Uarini,BR,-2.99,-65.1083,101.23,27,50,3.42,Clouds
129,Itarema,BR,-2.9248,-39.9167,86.68,60,15,18.86,Clouds
130,Juneau,US,58.3019,-134.4197,51.8,100,100,14.97,Mist
131,Norman Wells,CA,65.282,-126.8329,43.14,87,100,2.15,Rain
132,Morehead,US,37.2711,-87.1764,59.99,48,75,6.91,Clouds
133,Havoysund,NO,70.9963,24.6622,44.83,85,47,20.8,Clouds
134,Carire,BR,-3.9506,-40.4733,104.7,21,23,1.41,Clouds
135,Kruisfontein,ZA,-34.0033,24.7314,65.88,67,78,7.65,Clouds
136,Ancud,CL,-41.8697,-73.8203,51.78,56,16,13.56,Clouds
137,Shaoyang,CN,27.2315,111.4525,57.49,78,25,5.14,Clouds
138,Gizo,SB,-8.103,156.8419,81.05,75,35,7.09,Clouds
139,Geraldton,AU,-28.7667,114.6,48.61,93,36,4.61,Clouds
140,Nizhniy Kuranakh,RU,58.8353,125.4869,27.75,96,100,7.14,Snow
141,Kasongo-Lunda,CD,-6.4667,16.8167,75.43,79,77,3.94,Rain
142,Sambava,MG,-14.2667,50.1667,71.64,79,27,14.85,Clouds
143,Japura,ID,-0.3167,102.35,71.87,96,100,3.0,Clouds
144,Totness,SR,5.8833,-56.3167,87.3,59,6,10.45,Clear
145,Vrangel,RU,42.7297,133.0839,50.99,63,41,1.88,Clouds
146,Kutum,SD,14.2,24.6667,84.61,22,34,9.33,Clouds
147,Hilo,US,19.7297,-155.09,83.28,89,20,4.61,Clouds
148,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,93,40,5.75,Clouds
149,Severo-Kurilsk,RU,50.6789,156.125,43.21,65,100,6.85,Clouds
150,Bataipora,BR,-22.2953,-53.2711,81.45,41,0,5.06,Clear
151,Finschhafen,PG,-6.6024,147.8681,78.76,78,83,6.73,Clouds
152,Omboue,GA,-1.5746,9.2618,78.01,81,76,7.54,Clouds
153,Nuuk,GL,64.1835,-51.7216,32.61,86,75,3.44,Clouds
154,Candolim,IN,15.5181,73.7626,78.69,80,48,2.42,Clouds
155,Uhlove,UA,44.8215,33.6045,63.01,68,46,16.71,Clouds
156,Gazojak,TM,41.1875,61.4036,59.54,35,0,11.65,Clear
157,Gat,IL,31.61,34.7642,75.88,100,14,7.85,Clouds
158,Mareeba,AU,-17.0,145.4333,70.52,93,30,2.59,Clouds
159,Waspan,NI,14.7419,-83.9717,79.39,92,100,7.83,Clouds
160,Te Anau,NZ,-45.4167,167.7167,45.59,82,86,7.34,Clouds
161,Axim,GH,4.8699,-2.2405,79.32,77,89,8.01,Clouds
162,Raga,SS,8.4596,25.678,71.46,91,35,3.15,Rain
163,Iquique,CL,-20.2208,-70.1431,62.64,64,3,3.96,Clear
164,Pangnirtung,CA,66.1451,-65.7125,26.6,74,100,3.44,Snow
165,Strai,NO,58.2,7.9,48.79,67,20,3.44,Clouds
166,Lompoc,US,34.6391,-120.4579,57.61,100,100,0.0,Clouds
167,Lorengau,PG,-2.0226,147.2712,80.26,72,22,7.18,Clouds
